,titre,marque,modele,annee,kilometrage,boite_vitesse,carburant,prix
16,MERCEDES CLASSE A III phase 2,MERCEDES,1.6 200 156 FASCINATION,2019,76 260 km,Automatique,Essence,30 740 €
0,MERCEDES CLASSE C V SW,MERCEDES,2.0 200 D 163 AMG LINE,2023,25 630 km,Automatique,Diesel,51 680 €
1,MERCEDES CLASSE B III,MERCEDES,1.5 180 D 116 STYLE LINE EDITION,2021,41 335 km,Automatique,Diesel,31 440 €
2,MERCEDES CLASSE B phase 2,MERCEDES,2.0 180 CDI 109 DESIGN,2011,152 874 km,Manuelle,Diesel,10 240 €
3,MERCEDES CLASSE C IV SW,MERCEDES,2.0 200 184 SPORTLINE,2019,75 210 km,Automatique,Essence,32 680 €
4,MERCEDES GLA II,MERCEDES,1.3 250 218 AMG LINE,2022,27 816 km,Automatique,Hybrides,48 860 €
5,MERCEDES CLASSE A IV phase 2,MERCEDES,1.3 250 218 AMG LINE,2022,22 809 km,Automatique,Hybrides,40 120 €
6,MERCEDES EQA,MERCEDES,190ch 66.5kWh AMG LINE,2022,75 336 km,Automatique,Électrique,47 340 €
7,MERCEDES CLASSE E V COUPE,MERCEDES,2.0 220 D 194 SPORTLINE,2018,101 196 km,Automatique,Diesel,35 620 €
8,MERCEDES GLE COUPE II,MERCEDES,2.0 350 320 AMG LINE,2022,61 050 km,Automatique,,95 440 €
9,MERCEDES CLASSE A 4 BERLINE,MERCEDES,BERLINE 180 DCT LAUNCH EDITION,2020,23 956 km,Automatique,Diesel,29 130 €
10,MERCEDES CLA phase 2,MERCEDES,2.1 220 D 177 FASCINATION,2018,47 960 km,Automatique,Diesel,31 050 €
11,MERCEDES CLASSE A IV,MERCEDES,1.5 180 D 116 STYLE LINE,2020,55 097 km,Automatique,Diesel,30 220 €
12,MERCEDES CLASSE C IV COUPE phase 2,MERCEDES,2.0 220 D 194 AMG LINE,2019,133 340 km,Automatique,Diesel,38 820 €
13,MERCEDES VITO,MERCEDES,1.6 CDI 114,2017,67 860 km,Manuelle,Diesel,37 420 €
14,MERCEDES GLC phase 2,MERCEDES,2.0 300 D 245 AMG LINE,2020,116 600 km,Automatique,Diesel,43 890 €
15,MERCEDES CLASSE V 2 LONG,MERCEDES,250D 4-MATIC LONG AVANTGARDE EDITION,2019,56 596 km,Automatique,Diesel,64 290 €
16,MERCEDES CLA II,MERCEDES,1.3 250 160 AMG LINE,2021,72 479 km,Automatique,Hybrides,45 720 €
0,MERCEDES CLASSE E V BREAK phase 2,MERCEDES,2.0 220 D 194 AMG LINE,2023,24 581 km,Automatique,Diesel,50 860 €
1,MERCEDES CLASSE C IV,MERCEDES,1.6 180 D 116 BUSINESS,2019,113 673 km,Manuelle,Diesel,23 580 €
2,MERCEDES CLASSE C IV CABRIOLET AMG phase 2,MERCEDES,4.0 63 510 AMG S,2023,4 572 km,Automatique,Essence,139 870 €
3,MERCEDES CLASSE V II COMPACT,MERCEDES,2.1 250 D 204,2019,42 700 km,Automatique,Diesel,76 840 €
4,MERCEDES GLA phase 2,MERCEDES,2.0 250 211 FASCINATION,2018,79 015 km,Automatique,Essence,39 230 €
5,MERCEDES CLASSE A IV AMG,MERCEDES,2.0 45 421 AMG S,2021,26 384 km,Automatique,Essence,81 180 €
6,MERCEDES CLASSE E V CABRIOLET,MERCEDES,3.0 350 D 258 FASCINATION,2019,55 998 km,Automatique,Diesel,63 310 €
7,MERCEDES CLASSE C IV SW phase 2,MERCEDES,1.5 200 184 AMG LINE,2021,187 000 km,Automatique,Hybrides,26 290 €
8,MERCEDES CLA SHOOTING BRAKE phase 2,MERCEDES,2.1 200 D 136 FASCINATION,2019,61 291 km,Automatique,Diesel,30 220 €
9,MERCEDES GLC,MERCEDES,2.1 220 D 170 SPORTLINE,2018,100 456 km,Automatique,Diesel,38 020 €
10,MERCEDES CLASSE A IV AMG,MERCEDES,2.0 35 306 AMG,2023,1 174 km,Automatique,Essence,84 660 €
11,MERCEDES CLA phase 2,MERCEDES,1.6 200 156 FASCINATION,2020,79 152 km,Automatique,Essence,30 920 €
12,MERCEDES CLASSE M III,MERCEDES,2.1 250 204 FASCINATION,2016,161 280 km,Automatique,Diesel,27 880 €
13,MERCEDES CLASSE A III AMG,MERCEDES,2.0 45 360 AMG,2015,97 200 km,Automatique,Essence,32 380 €
14,MERCEDES EQC,MERCEDES,408ch 81kWh AMG LINE,2021,47 097 km,Automatique,Électrique,73 030 €
15,MERCEDES CLASSE C IV SW phase 2,MERCEDES,1.6 200 D 160 AMG LINE,2020,136 640 km,Automatique,Diesel,34 140 €
16,MERCEDES GLC COUPE AMG,MERCEDES,3.0 43 367 AMG,2020,113 724 km,Automatique,Essence,59 270 €
0,MERCEDES CLA II AMG,MERCEDES,2.0 45 421,2023,16 605 km,Automatique,Essence,86 080 €
1,MERCEDES CLASSE A IV AMG,MERCEDES,2.0 35 306 AMG,2020,94 464 km,Automatique,Essence,51 530 €
2,MERCEDES GLE,MERCEDES,3.0 450 367 AMG,2016,56 338 km,Automatique,Essence,63 210 €
3,MERCEDES GLB,MERCEDES,2.0 220 D 190 AMG LINE,2021,29 700 km,Automatique,Diesel,53 890 €
4,MERCEDES GLC,MERCEDES,2.0 350 E 211 FASCINATION,2018,114 000 km,Automatique,Hybrides,43 180 €
5,MERCEDES CLASSE S V,MERCEDES,4.3 430 279,2000,61 250 km,Automatique,Essence,24 980 €
